Value,Feature,importance
2,EncodeH3K9ac_sum,0.003683241252302026
40,autoFE_f_0,0.07366482504604052
40,autoFE_f_1,0.07366482504604052
40,autoFE_f_2,0.07366482504604052
22,autoFE_f_3,0.040515653775322284
32,autoFE_f_5,0.058931860036832415
8,autoFE_f_6,0.014732965009208104
14,autoFE_f_16,0.02578268876611418
38,autoFE_f_17,0.06998158379373849
10,autoFE_f_20,0.01841620626151013
35,autoFE_f_23,0.06445672191528545
3,autoFE_f_24,0.0055248618784530384
16,autoFE_f_25,0.029465930018416207
38,autoFE_f_27,0.06998158379373849
4,autoFE_f_29,0.007366482504604052
3,autoFE_f_33,0.0055248618784530384
5,autoFE_f_42,0.009208103130755065
13,autoFE_f_56,0.02394106813996317
1,autoFE_f_67,0.001841620626151013
2,autoFE_f_196,0.003683241252302026
14,autoFE_f_218,0.02578268876611418
5,autoFE_f_249,0.009208103130755065
5,autoFE_f_286,0.009208103130755065
4,autoFE_f_330,0.007366482504604052
18,autoFE_f_382,0.03314917127071823
4,autoFE_f_393,0.007366482504604052
4,autoFE_f_394,0.007366482504604052
4,autoFE_f_606,0.007366482504604052
1,autoFE_f_628,0.001841620626151013
5,autoFE_f_1190,0.009208103130755065
1,autoFE_f_1290,0.001841620626151013
5,autoFE_f_1569,0.009208103130755065
4,autoFE_f_1629,0.007366482504604052
18,autoFE_f_2528,0.03314917127071823
4,autoFE_f_2677,0.007366482504604052
2,autoFE_f_2721,0.003683241252302026
13,autoFE_f_4231,0.02394106813996317
7,autoFE_f_5685,0.01289134438305709
1,autoFE_f_5819,0.001841620626151013
2,autoFE_f_6477,0.003683241252302026
30,autoFE_f_6478,0.055248618784530384
1,autoFE_f_6549,0.001841620626151013
4,autoFE_f_6669,0.007366482504604052
21,autoFE_f_6847,0.03867403314917127
