Value,importance,Feature
24,0.03940886699507389,EncodeH3K9ac_sum
30,0.04926108374384237,autoFE_f_0
24,0.03940886699507389,autoFE_f_1
36,0.059113300492610835,autoFE_f_2
22,0.0361247947454844,autoFE_f_3
8,0.013136288998357963,autoFE_f_5
17,0.027914614121510674,autoFE_f_6
18,0.029556650246305417,autoFE_f_16
12,0.019704433497536946,autoFE_f_17
22,0.0361247947454844,autoFE_f_20
23,0.03776683087027915,autoFE_f_23
23,0.03776683087027915,autoFE_f_24
20,0.03284072249589491,autoFE_f_25
13,0.021346469622331693,autoFE_f_27
16,0.026272577996715927,autoFE_f_29
20,0.03284072249589491,autoFE_f_33
15,0.024630541871921183,autoFE_f_42
23,0.03776683087027915,autoFE_f_56
9,0.014778325123152709,autoFE_f_67
4,0.006568144499178982,autoFE_f_196
12,0.019704433497536946,autoFE_f_218
11,0.0180623973727422,autoFE_f_249
4,0.006568144499178982,autoFE_f_286
20,0.03284072249589491,autoFE_f_330
7,0.011494252873563218,autoFE_f_382
32,0.052545155993431854,autoFE_f_393
16,0.026272577996715927,autoFE_f_394
4,0.006568144499178982,autoFE_f_606
4,0.006568144499178982,autoFE_f_628
7,0.011494252873563218,autoFE_f_1190
11,0.0180623973727422,autoFE_f_1290
9,0.014778325123152709,autoFE_f_1569
3,0.0049261083743842365,autoFE_f_1629
3,0.0049261083743842365,autoFE_f_2528
10,0.016420361247947456,autoFE_f_2677
11,0.0180623973727422,autoFE_f_2721
11,0.0180623973727422,autoFE_f_4231
8,0.013136288998357963,autoFE_f_5685
3,0.0049261083743842365,autoFE_f_5819
13,0.021346469622331693,autoFE_f_6477
10,0.016420361247947456,autoFE_f_6478
5,0.008210180623973728,autoFE_f_6549
12,0.019704433497536946,autoFE_f_6669
4,0.006568144499178982,autoFE_f_6847
